leaidC	newname	nyt_abbrev	ses	totavg	mnav3poolgcs	mnav8poolgcs	mngrdpoolgcs	stfips	countyid	inc50all	growth_pctile_for_subgroup	lat	lon
3620580	New York City Public Schools	N.Y.	-0.8876	70986	2.993	7.578	0.917	36	36061	41888	35	40.696	-73.866
0622710	Los Angeles Unified	Calif.	-0.595	49398	1.939	6.309	0.874	06	06037	40928	23	34.12	-118.391
1709930	City of Chicago	Ill.	-1.2862	29007	1.664	7.622	1.192	17	17031	38036	97	41.838	-87.689
1200390	Dade	Fla.	-0.5289	26421	3.407	7.608	0.84	12	12086	44846	16	25.613	-80.572
3200060	Clark County School District	Nev.	0.0122	24468	2.52	7.566	1.009	32	32003	58901	64	36.215	-115.014
1200180	Broward	Fla.	-0.0591	19164	3.681	7.96	0.856	12	12011	56779	19	26.152	-80.491
4823640	Houston	Tex.	-0.8436	16229	2.677	7.384	0.941	48	48201	35505	42	29.724	-95.392
1200870	Hillsborough	Fla.	-0.1819	14677	3.477	7.612	0.827	12	12057	53565	14	27.931	-82.306
4218990	Philadelphia City	Pa.	-1.8208	14393	1.853	6.386	0.907	42	42101	33429	32	40.008	-75.134
1500030	Hawaii Department of Education	Hawaii	0.4943	13645	2.757	7.565	0.962	15	15003	71322	49	19.598	-155.506
1201440	Orange	Fla.	-0.2132	13263	3.481	7.714	0.847	12	12095	50719	18	28.514	-81.323
4816230	Dallas	Tex.	-1.0883	13087	2.185	6.844	0.932	48	48113	31634	39	32.736	-96.744
1201500	Palm Beach	Fla.	-0.0597	13055	3.552	8.052	0.9	12	12099	56399	30	26.647	-80.477
1302550	Gwinnett County	Ga.	0.3352	12933	3.644	8.747	1.021	13	13135	63318	68	33.957	-84.024
5101260	Fairfax Co. Public Schools	Va.	1.5955	12637	4.229	9.086	0.971	51	51059	116358	52	38.838	-77.278
3704720	Wake County Schools	N.C.	0.7493	11906	4.171	8.846	0.935	37	37183	77289	40	35.79	-78.65
3702970	Charlotte-Mecklenburg Schools	N.C.	-0.0485	11239	3.548	8.284	0.947	37	37119	57010	44	35.247	-80.833
2400480	Montgomery County Public Schools	Md.	1.2183	10503	4.078	9.03	0.99	24	24031	99755	58	39.136	-77.204
0634320	San Diego Unified	Calif.	0.1474	9627	2.555	7.577	1.004	06	06073	55e3	63	32.813	-117.147
1200480	Duval	Fla.	-0.3895	9108	3.356	7.335	0.796	12	12031	51586	10	30.326	-81.69
2400510	Prince George's County Public Schools	Md.	0.1889	8829	2.439	6.751	0.862	24	24033	71292	21	38.83	-76.847
1301290	Cobb County	Ga.	0.5962	8303	3.463	8.551	1.018	13	13067	75323	67	33.941	-84.577
4816110	Cypress-Fairbanks	Tex.	0.8133	8276	3.465	8.752	1.057	48	48201	73884	78	29.923	-95.644
4702940	Memphis City School District	Tenn.	-2.0633	7977	1.021	6.065	1.009	47	47157	31076	64	35.105	-89.977
2400120	Baltimore County Public Schools	Md.	0.4317	7673	3.807	7.942	0.827	24	24005	68698	14	39.468	-76.646
2612000	Detroit City School District	Mich.	-3.2371	7627	0.852	5.421	0.914	26	26163	26982	34	42.385	-83.104
1201560	Pinellas	Fla.	-0.0888	7522	3.448	7.574	0.825	12	12103	52253	14	27.937	-82.726
4833120	Northside	Tex.	0.3629	7479	3.155	8.316	1.032	48	48029	60874	71	29.558	-98.692
1301740	Dekalb County	Ga.	-0.6892	7390	2.337	6.59	0.85	13	13089	46937	18	33.772	-84.222
3500060	Albuquerque Public Schools	N.M.	-0.1651	7289	2.224	7.153	0.986	35	35001	48886	57	35.058	-106.686
2102990	Jefferson County	Ky.	-0.7313	7197	2.615	7.252	0.927	21	21111	46814	38	38.187	-85.659
1201590	Polk	Fla.	-0.4149	7109	3.135	7.06	0.785	12	12105	47663	8	27.949	-81.698
1302280	Fulton County	Ga.	0.5523	7023	3.679	8.349	0.934	13	13121	78200	40	33.608	-84.612
4808940	Austin	Tex.	-0.3685	6476	2.957	7.969	1.002	48	48453	44325	62	30.261	-97.798
4819700	Fort Worth	Tex.	-1.0328	6292	2.068	6.834	0.953	48	48439	35202	46	32.721	-97.37
0622500	Long Beach Unified	Calif.	-0.4965	6214	2.357	7.103	0.949	06	06037	49042	45	33.382	-118.419
5103130	Prince Wm Co. Public Schools	Va.	1.1002	6181	3.646	8.499	0.971	51	51153	92771	52	38.719	-77.485
0804800	Jefferson County School District No. R-1	Colo.	0.753	6171	4.147	9.102	0.991	08	08059	78941	59	39.588	-105.25
1201080	Lee	Fla.	-0.1532	6121	3.639	7.792	0.831	12	12071	50959	15	26.581	-81.788
0803360	School District No. 1 In The County Of Denver And State Of C	Colo.	-0.4215	6066	2.491	7.423	0.987	08	08031	42291	57	39.761	-104.877
5509600	Milwaukee School District	Wis.	-1.8662	5916	1.3	5.87	0.914	55	55079	32072	34	43.064	-87.967
4703180	Davidson County	Tenn.	-0.839	5823	1.82	6.975	1.031	47	47037	41745	71	36.169	-86.785
2400090	Baltimore City Public Schools	Md.	-1.6172	5719	2.314	5.499	0.637	24	24510	35630	1	39.308	-76.616
3701920	Guilford County Schools	N.C.	-0.3979	5683	3.395	7.862	0.893	37	37081	50777	28	36.079	-79.789
4900030	Alpine District	Utah	1.1315	5679	3.453	9.007	1.111	49	49049	77638	89	40.315	-111.852
2400060	Anne Arundel County Public Schools	Md.	0.958	5642	4.43	8.55	0.824	24	24003	89181	14	39.002	-76.609
0404970	Mesa Unified District	Ariz.	0.1074	5625	2.773	7.967	1.039	04	04013	56160	73	33.453	-111.727
