index,time,latitude,longitude,varianceFlagged-v1_1,q05,maxDays,days at or above 32 deg,minDays,q95
58500,1960,22.625,88.375,0,187.047619047619,187.047619047619,187.047619047619,187.047619047619,187.047619047619
58501,1961,22.625,88.375,0,188.28571428571428,188.28571428571428,188.28571428571428,188.28571428571428,188.28571428571428
58502,1962,22.625,88.375,0,186.14285714285717,186.14285714285717,186.14285714285717,186.14285714285717,186.14285714285717
58503,1963,22.625,88.375,0,185.19047619047615,185.19047619047615,185.19047619047615,185.19047619047615,185.19047619047615
58504,1964,22.625,88.375,0,184.42857142857144,184.42857142857144,184.42857142857144,184.42857142857144,184.42857142857144
58505,1965,22.625,88.375,0,183.7142857142857,183.7142857142857,183.7142857142857,183.7142857142857,183.7142857142857
58506,1966,22.625,88.375,0,185.23809523809524,185.23809523809524,185.23809523809524,185.23809523809524,185.23809523809524
58507,1967,22.625,88.375,0,186.52380952380955,186.52380952380955,186.52380952380955,186.52380952380955,186.52380952380955
58508,1968,22.625,88.375,0,186.66666666666663,186.66666666666663,186.66666666666663,186.66666666666663,186.66666666666663
58509,1969,22.625,88.375,0,188.66666666666663,188.66666666666663,188.66666666666663,188.66666666666663,188.66666666666663
58510,1970,22.625,88.375,0,191.6190476190476,191.6190476190476,191.6190476190476,191.6190476190476,191.6190476190476
58511,1971,22.625,88.375,0,192.90476190476193,192.90476190476193,192.90476190476193,192.90476190476193,192.90476190476193
58512,1972,22.625,88.375,0,195.28571428571428,195.28571428571428,195.28571428571428,195.28571428571428,195.28571428571428
58513,1973,22.625,88.375,0,195.6190476190476,195.6190476190476,195.6190476190476,195.6190476190476,195.6190476190476
58514,1974,22.625,88.375,0,194.3333333333333,194.3333333333333,194.3333333333333,194.3333333333333,194.3333333333333
58515,1975,22.625,88.375,0,194.23809523809524,194.23809523809524,194.23809523809524,194.23809523809524,194.23809523809524
58516,1976,22.625,88.375,0,194.6190476190476,194.6190476190476,194.6190476190476,194.6190476190476,194.6190476190476
58517,1977,22.625,88.375,0,195.9523809523809,195.9523809523809,195.9523809523809,195.9523809523809,195.9523809523809
58518,1978,22.625,88.375,0,197.66666666666663,197.66666666666663,197.66666666666663,197.66666666666663,197.66666666666663
58519,1979,22.625,88.375,0,198.47619047619045,198.47619047619045,198.47619047619045,198.47619047619045,198.47619047619045
58520,1980,22.625,88.375,0,197.9523809523809,197.9523809523809,197.9523809523809,197.9523809523809,197.9523809523809
58521,1981,22.625,88.375,0,200.3809523809524,200.3809523809524,200.3809523809524,200.3809523809524,200.3809523809524
58522,1982,22.625,88.375,0,203.6190476190476,203.6190476190476,203.6190476190476,203.6190476190476,203.6190476190476
58523,1983,22.625,88.375,0,204.19047619047615,204.19047619047615,204.19047619047615,204.19047619047615,204.19047619047615
58524,1984,22.625,88.375,0,205.42857142857144,205.42857142857144,205.42857142857144,205.42857142857144,205.42857142857144
58525,1985,22.625,88.375,0,206.3333333333333,206.3333333333333,206.3333333333333,206.3333333333333,206.3333333333333
58526,1986,22.625,88.375,0,209.0,209.0,209.0,209.0,209.0
58527,1987,22.625,88.375,0,208.6190476190476,208.6190476190476,208.6190476190476,208.6190476190476,208.6190476190476
58528,1988,22.625,88.375,0,209.9523809523809,209.9523809523809,209.9523809523809,209.9523809523809,209.9523809523809
58529,1989,22.625,88.375,0,211.52380952380955,211.52380952380955,211.52380952380955,211.52380952380955,211.52380952380955
58530,1990,22.625,88.375,0,210.90476190476193,210.90476190476193,210.90476190476193,210.90476190476193,210.90476190476193
58531,1991,22.625,88.375,0,211.57142857142856,211.57142857142856,211.57142857142856,211.57142857142856,211.57142857142856
58532,1992,22.625,88.375,0,211.42857142857144,211.42857142857144,211.42857142857144,211.42857142857144,211.42857142857144
58533,1993,22.625,88.375,0,211.47619047619045,211.47619047619045,211.47619047619045,211.47619047619045,211.47619047619045
58534,1994,22.625,88.375,0,212.23809523809516,212.23809523809516,212.23809523809516,212.23809523809516,212.23809523809516
58535,1995,22.625,88.375,0,213.047619047619,213.047619047619,213.047619047619,213.047619047619,213.047619047619
58536,1996,22.625,88.375,0,215.14285714285717,215.14285714285717,215.14285714285717,215.14285714285717,215.14285714285717
58537,1997,22.625,88.375,0,216.28571428571428,216.28571428571428,216.28571428571428,216.28571428571428,216.28571428571428
58538,1998,22.625,88.375,0,217.14285714285717,217.14285714285717,217.14285714285717,217.14285714285717,217.14285714285717
58539,1999,22.625,88.375,0,218.42857142857144,218.42857142857144,218.42857142857144,218.42857142857144,218.42857142857144
58540,2000,22.625,88.375,0,220.52380952380955,220.52380952380955,220.52380952380955,220.52380952380955,220.52380952380955
58541,2001,22.625,88.375,0,221.4110172603746,222.26740073260075,223.02380952380955,224.55092789115642,225.29510476190475
58542,2002,22.625,88.375,0,220.52896190476193,222.35578735197785,224.09523809523807,225.7019761904762,226.3809523809524
58543,2003,22.625,88.375,0,219.71741951279225,223.2716126984127,224.76190476190476,226.85260408163262,227.80952380952382
58544,2004,22.625,88.375,0,220.10126086424285,224.7142857142857,226.78571428571428,229.98094476190477,231.42847619047615
58545,2005,22.625,88.375,0,219.5388857142857,223.7264633493847,227.89285714285717,231.11110476190484,232.42809523809518
58546,2006,22.625,88.375,0,219.3057523809524,224.35743178170142,229.26190476190476,231.76198780329568,233.6183809523809
58547,2007,22.625,88.375,0,218.4575809523809,222.03288485764682,230.32142857142856,233.006339047619,234.1426349206349
58548,2008,22.625,88.375,0,217.77150476190482,223.6804723809524,231.28571428571428,234.28539047619046,235.68706122448975
58549,2009,22.625,88.375,0,217.15245714285717,225.08869047619046,232.57142857142856,234.7623614895549,236.05699047619046
58550,2010,22.625,88.375,0,216.43817142857142,225.9180476190476,232.26190476190484,236.19840952380954,236.88747891527183
58551,2011,22.625,88.375,0,216.19057142857145,227.02649523809524,232.8767951625094,237.60314285714284,238.0832619047619
58552,2012,22.625,88.375,0,214.28580952380952,227.58997142857143,234.23280423280426,238.6285657171414,239.9523809523809
58553,2013,22.625,88.375,0,213.42866666666663,228.67065238095242,234.9076173679348,239.15199238095238,241.42061904761903
58554,2014,22.625,88.375,0,213.04771428571428,229.42857142857144,236.7734082397004,240.3126476190476,244.29309523809516
58555,2015,22.625,88.375,0,213.61914285714283,230.38943238095237,238.2715209540606,242.0,246.54671428571427
58556,2016,22.625,88.375,0,213.762,231.4963161904762,239.87746031746033,244.23777142857142,249.60152380952374
58557,2017,22.625,88.375,0,212.3810476190476,230.4666933333333,240.38071428571428,244.34008044634743,249.997238095238
