objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
7666,1950,CA,USF,TNF,COLESMILL,0,1950-05-11,1950-05-29,5,,34,47.6826553344727,,1,4,1678.21874952247,192964.861578353
3596,1950,CA,CDF,LNU,WALTER TINDELL,0,1950-05-29,,14,,,298.657348632812,,1,1,4868.93983674738,1208623.39428714
8552,1950,CA,CDF,BEU,ECHENIQUE,0,1950-05-30,,14,,,2294.044921875,,1,19,23045.8304552322,9283670.69959719
4393,1950,CA,CDF,BDU,GOCKE,0,1950-06-01,,14,,,466.352111816406,,1,5,7793.84374231403,1887259.98210419
8437,1950,CA,CCO,VNC,DEVILS GULCH,0,1950-06-01,,14,,,24.5894107818604,,1,0,1159.61307107814,99509.8169556751
593,1950,CA,CDF,LMU,BAGGETT GULCH,0,1950-06-02,,9,,,3941.26733398438,,1,1,18305.5871831485,15949743.4646396
6393,1950,CA,USF,MDF,PANHANDLE,0,1950-06-03,,9,,,586.419555664062,,1,8,10991.6330700503,2373155.68522992
3580,1950,CA,CDF,AEU,RUSSI,0,1950-06-06,,14,,,533.525329589844,,1,2,6672.18568554344,2159100.52966431
8434,1950,CA,CDF,MVU,BARRETT,0,1950-06-10,,14,,,1632.45080566406,,1,305,18732.9974976753,6606294.00606938
8574,1950,CA,CDF,MVU,PUEBLO SIDING,0,1950-06-10,,9,,,315.018127441406,,1,301,5537.57300335508,1274833.16697592
3583,1950,CA,CDF,BTU,SHEEP HOLLOW,0,1950-06-16,,14,,,558.768920898438,,1,173,7426.64020468992,2261257.59120392
7364,1950,CA,CDF,LNU,L.H.BUTTON,0,1950-06-16,,14,,,429.004455566406,,1,1,7699.45713673907,1736119.4977548
5166,1950,CA,CDF,MMU,CURRAN,0,1950-06-18,,14,,,455.657165527344,,1,100,5871.44181265069,1843979.17141533
5160,1950,CA,CDF,AEU,QUESTO RANCH,0,1950-06-19,,14,,,877.980590820312,,1,3,9553.63755238294,3553061.46478637
6399,1950,CA,USF,SRF,MCCOULTER,0,1950-06-29,,9,,,2.48946833610535,,1,200359,356.262177908347,10074.5206450116
1949,1950,CA,CDF,RRU,RAWSON,0,1950-06-30,,14,,,3537.73583984375,,1,422,17713.421798488,14316708.9341733
4388,1950,CA,CDF,BDU,NORTH FORK,0,1950-06-30,,14,,,13187.95703125,,1,330,63998.0221011825,53369768.3197821
8550,1950,CA,CDF,BEU,KORNTVED,0,1950-06-30,,9,,,581.678894042969,,1,44,8547.47528087435,2353970.97778194
2509,1950,CA,CDF,NEU,BOBO,0,1950-07-03,,14,,,264.394622802734,,1,49,4493.91682637018,1069967.02400408
3582,1950,CA,CDF,AEU,SCULLY ROAD,0,1950-07-03,,14,,,416.051544189453,,1,41,6373.18927408334,1683700.82603356
5155,1950,CA,CDF,LMU,PEAVINE JCT.,0,1950-07-03,,14,,,218.520843505859,,1,29,4049.92644228549,884322.463056638
6403,1950,CA,USF,SRF,ROCK CREEK,0,1950-07-03,,3,,,153.002166748047,,1,319,3211.84009269474,619177.799243124
8541,1950,CA,CDF,SLU,PILITAS #1,0,1950-07-03,,14,,,22844.712890625,,1,48,66017.801788492,92449271.0027369
